Mois,Kits vendus,Stock kits restant,Tickets Hotspot,CA kits (XAF),CA Hotspot (XAF),Chiffre d'affaires (XAF),Coût kits vendus (XAF),Marge brute kits (XAF),Abonnements Starlink ARCEP (XAF),Maintenance hotspots (XAF),Résultat d'exploitation (XAF),Impôt local 25% (XAF),Bénéfice net distribuable (XAF),Chiffre d'affaires cumulé (XAF),Bénéfice net distribuable cumulé (XAF),Trésorerie de fin de mois avant distribution (XAF),CAPEX kits Starlink (XAF),Sécurisation électrique (XAF),Conformité légale initiale (XAF),Fonds de roulement initial (XAF),Capital total alloué (XAF)
1,1,14,2600,500000.0,1300000,1800000.0,400000,100000.0,160000,75000,1165000.0,291250.0,873750.0,1800000.0,873750.0,2873750.0,6000000,1500000,500000,2000000,10000000
2,1,13,2600,500000.0,1300000,1800000.0,400000,100000.0,160000,75000,1165000.0,291250.0,873750.0,3600000.0,1747500.0,3747500.0,6000000,1500000,500000,2000000,10000000
3,1,12,2600,500000.0,1300000,1800000.0,400000,100000.0,160000,75000,1165000.0,291250.0,873750.0,5400000.0,2621250.0,4621250.0,6000000,1500000,500000,2000000,10000000
4,1,11,2600,500000.0,1300000,1800000.0,400000,100000.0,160000,75000,1165000.0,291250.0,873750.0,7200000.0,3495000.0,5495000.0,6000000,1500000,500000,2000000,10000000
5,1,10,2600,500000.0,1300000,1800000.0,400000,100000.0,160000,75000,1165000.0,291250.0,873750.0,9000000.0,4368750.0,6368750.0,6000000,1500000,500000,2000000,10000000
6,2,8,2600,1000000.0,1300000,2300000.0,800000,200000.0,160000,75000,1265000.0,316250.0,948750.0,11300000.0,5317500.0,7317500.0,6000000,1500000,500000,2000000,10000000
7,1,7,2600,500000.0,1300000,1800000.0,400000,100000.0,160000,75000,1165000.0,291250.0,873750.0,13100000.0,6191250.0,8191250.0,6000000,1500000,500000,2000000,10000000
8,1,6,2600,500000.0,1300000,1800000.0,400000,100000.0,160000,75000,1165000.0,291250.0,873750.0,14900000.0,7065000.0,9065000.0,6000000,1500000,500000,2000000,10000000
9,1,5,2600,500000.0,1300000,1800000.0,400000,100000.0,160000,75000,1165000.0,291250.0,873750.0,16700000.0,7938750.0,9938750.0,6000000,1500000,500000,2000000,10000000
10,1,4,2600,500000.0,1300000,1800000.0,400000,100000.0,160000,75000,1165000.0,291250.0,873750.0,18500000.0,8812500.0,10812500.0,6000000,1500000,500000,2000000,10000000
11,2,2,2600,1000000.0,1300000,2300000.0,800000,200000.0,160000,75000,1265000.0,316250.0,948750.0,20800000.0,9761250.0,11761250.0,6000000,1500000,500000,2000000,10000000
12,2,0,2600,1000000.0,1300000,2300000.0,800000,200000.0,160000,75000,1265000.0,316250.0,948750.0,23100000.0,10710000.0,12710000.0,6000000,1500000,500000,2000000,10000000
